ticker,direction,entry_time,entry_price,exit_time,exit_price,qty,position_val,gross_pnl,commission,net_pnl,outcome,vwap_at_entry,deviation_pct
MZTF.TA,long,2026-02-20 11:40:00+02:00,24670.0,2026-02-20 11:50:00+02:00,24571.32,1.01,25000.0,-100.0,18.0,-125.5,stop,24894.0254,-0.9
POLI.TA,long,2026-02-20 12:20:00+02:00,8047.0,2026-02-20 13:00:00+02:00,8051.0,3.1,24968.62,12.41,18.0,-13.08,time,8100.8363,-0.665
DSCT.TA,long,2026-02-26 13:10:00+02:00,3800.0,2026-02-26 13:40:00+02:00,3784.8,6.57,24965.36,-99.86,18.0,-125.35,stop,3835.727,-0.931
POLI.TA,long,2026-02-27 11:50:00+02:00,7743.0,2026-02-27 12:00:00+02:00,7712.028,3.22,24934.02,-99.74,18.0,-125.22,stop,7794.7591,-0.664
MZTF.TA,long,2026-02-27 11:55:00+02:00,23200.0,2026-02-27 12:35:00+02:00,23300.0,1.07,24934.02,107.47,18.0,81.99,time,23413.7787,-0.913
ICL.TA,long,2026-03-10 11:15:00+02:00,1597.0,2026-03-10 11:55:00+02:00,1597.0,15.61,24923.21,0.0,18.0,-25.48,time,1623.9038,-1.657
MZTF.TA,long,2026-03-10 12:30:00+02:00,23330.0,2026-03-10 13:10:00+02:00,23410.0,1.07,24916.84,85.44,18.0,59.97,time,23501.8685,-0.731
LUMI.TA,long,2026-03-11 11:50:00+02:00,7483.0,2026-03-11 12:05:00+02:00,7453.068,3.33,24931.83,-99.73,18.0,-125.21,stop,7540.0486,-0.757
ESLT.TA,long,2026-03-11 13:00:00+02:00,257900.0,2026-03-11 13:40:00+02:00,259400.0,0.1,24900.53,144.83,18.0,119.36,time,261955.1018,-1.548
LUMI.TA,long,2026-04-03 12:40:00+03:00,7010.0,2026-04-03 13:05:00+03:00,6981.96,3.56,24930.37,-99.72,18.0,-125.2,stop,7052.7719,-0.606
ICL.TA,long,2026-04-16 12:55:00+03:00,1563.0,2026-04-16 13:35:00+03:00,1564.0,15.93,24899.07,15.93,18.0,-9.54,time,1574.8826,-0.755
DSCT.TA,long,2026-04-24 12:30:00+03:00,3438.0,2026-04-24 12:50:00+03:00,3424.248,7.24,24896.69,-99.59,18.0,-125.06,stop,3478.2317,-1.157
POLI.TA,long,2026-05-01 12:50:00+03:00,7881.0,2026-05-01 13:30:00+03:00,7948.0,3.16,24865.42,211.39,18.0,185.93,time,7945.1181,-0.807
NICE.TA,long,2026-05-06 13:05:00+03:00,33300.0,2026-05-06 13:20:00+03:00,33166.8,0.75,24911.91,-99.65,18.0,-125.12,stop,34545.8743,-3.606
MZTF.TA,long,2026-05-13 12:35:00+03:00,23280.0,2026-05-13 12:45:00+03:00,23186.88,1.07,24880.63,-99.52,18.0,-124.99,stop,23442.9723,-0.695
MZTF.TA,long,2026-05-14 12:15:00+03:00,22090.0,2026-05-14 12:40:00+03:00,22001.64,1.12,24849.38,-99.4,18.0,-124.85,stop,22266.4845,-0.793
MZTF.TA,long,2026-05-14 12:55:00+03:00,22020.0,2026-05-14 13:05:00+03:00,21931.92,1.13,24818.17,-99.27,18.0,-124.72,stop,22185.0444,-0.744
ICL.TA,long,2026-05-15 12:25:00+03:00,1841.0,2026-05-15 13:05:00+03:00,1840.0,13.46,24786.99,-13.46,18.0,-38.9,time,1860.4114,-1.043
ICL.TA,long,2026-05-18 12:35:00+03:00,1819.0,2026-05-18 12:50:00+03:00,1811.724,13.62,24777.26,-99.11,18.0,-124.54,stop,1847.6385,-1.55
