ticker,direction,entry_time,entry_price,exit_time,exit_price,qty,position_val,stop_price,target_price,or_height,gross_pnl,commission,net_pnl,outcome
NICE.TA,long,2026-02-23 11:10:00+02:00,37100.0,2026-02-23 14:00:00+02:00,37180.0,0.67,25000.0,36800.0,37700.0,400.0,53.91,23.0,23.41,eod
POLI.TA,long,2026-02-23 11:15:00+02:00,8124.0,2026-02-23 14:00:00+02:00,8136.0,3.08,25000.0,8076.0,8232.0,72.0,36.93,23.0,6.43,eod
MZTF.TA,long,2026-02-23 11:35:00+02:00,24850.0,2026-02-23 14:00:00+02:00,24840.0,1.01,25000.0,24645.0,25135.0,190.0,-10.06,23.0,-40.56,eod
POLI.TA,long,2026-02-27 11:20:00+02:00,7860.0,2026-02-27 11:30:00+02:00,7757.0,3.18,24997.32,7757.0,8031.0,114.0,-327.57,23.0,-358.07,stop
TEVA.TA,long,2026-02-27 13:05:00+02:00,10600.0,2026-02-27 13:40:00+02:00,10610.0,2.35,24907.8,10510.0,10750.0,100.0,23.5,22.92,-6.89,eod
POLI.TA,long,2026-02-27 13:40:00+02:00,7899.0,2026-02-27 13:45:00+02:00,7899.0,3.15,24907.8,7757.0,8070.0,114.0,0.0,22.92,-30.39,eod
LUMI.TA,long,2026-02-27 13:40:00+02:00,7577.0,2026-02-27 13:45:00+02:00,7577.0,3.29,24907.8,7439.5,7749.5,115.0,0.0,22.92,-30.39,eod
MZTF.TA,long,2026-03-02 10:50:00+02:00,24660.0,2026-03-02 12:25:00+02:00,24365.0,1.01,24890.89,24365.0,25185.0,350.0,-297.76,22.9,-328.13,stop
ICL.TA,long,2026-03-02 10:45:00+02:00,1531.0,2026-03-02 14:00:00+02:00,1561.0,16.26,24890.89,1514.5,1568.5,25.0,487.74,22.9,457.37,eod
DSCT.TA,long,2026-03-02 10:50:00+02:00,3993.0,2026-03-02 14:00:00+02:00,3984.0,6.23,24890.89,3936.0,4110.0,78.0,-56.1,22.9,-86.47,eod
ICL.TA,long,2026-03-04 11:30:00+02:00,1560.0,2026-03-04 14:00:00+02:00,1537.5,15.96,24901.58,1537.5,1600.5,27.0,-359.16,22.91,-389.54,stop
POLI.TA,long,2026-03-04 10:55:00+02:00,8053.0,2026-03-04 14:00:00+02:00,8070.0,3.09,24901.58,7960.0,8233.0,120.0,52.57,22.91,22.19,eod
MZTF.TA,long,2026-03-04 12:00:00+02:00,24860.0,2026-03-04 14:00:00+02:00,24520.0,1.0,24901.58,24335.0,25325.0,310.0,-340.57,22.91,-370.95,eod
ESLT.TA,long,2026-03-05 11:20:00+02:00,278700.0,2026-03-05 14:00:00+02:00,279300.0,0.09,24717.0,271650.0,284850.0,4100.0,53.21,22.74,23.06,eod
NVMI.TA,long,2026-03-05 11:20:00+02:00,136980.0,2026-03-05 14:00:00+02:00,136290.0,0.18,24717.0,135425.0,139725.0,1830.0,-124.51,22.74,-154.66,eod
CAMT.TA,long,2026-03-05 12:10:00+02:00,52000.0,2026-03-05 14:00:00+02:00,51610.0,0.48,24717.0,51145.0,53005.0,670.0,-185.38,22.74,-215.53,eod
NVMI.TA,long,2026-03-13 10:55:00+02:00,132520.0,2026-03-13 12:55:00+02:00,134125.0,0.19,24630.22,131535.0,134125.0,1070.0,298.31,22.66,268.26,target
CAMT.TA,long,2026-03-13 10:30:00+02:00,48180.0,2026-03-13 13:45:00+02:00,48760.0,0.51,24630.22,47810.0,49050.0,580.0,296.5,22.66,266.45,eod
MZTF.TA,long,2026-03-13 11:20:00+02:00,23110.0,2026-03-13 13:45:00+02:00,23050.0,1.07,24630.22,22830.0,23590.0,320.0,-63.95,22.66,-94.0,eod
NVMI.TA,long,2026-03-13 12:55:00+02:00,134200.0,2026-03-13 13:45:00+02:00,133990.0,0.18,24697.28,131535.0,135805.0,1070.0,-38.65,22.72,-68.78,eod
POLI.TA,long,2026-03-17 11:25:00+02:00,7668.0,2026-03-17 14:00:00+02:00,7708.0,3.22,24723.2,7547.5,7810.5,95.0,128.97,22.75,98.81,eod
LUMI.TA,long,2026-03-17 11:25:00+02:00,7283.0,2026-03-17 14:00:00+02:00,7290.0,3.39,24723.2,7164.0,7430.0,98.0,23.76,22.75,-6.4,eod
DSCT.TA,long,2026-03-17 11:25:00+02:00,3400.0,2026-03-17 14:00:00+02:00,3408.0,7.27,24723.2,3353.5,3479.5,53.0,58.17,22.75,28.01,eod
MZTF.TA,long,2026-03-18 10:25:00+02:00,23390.0,2026-03-18 11:15:00+02:00,23190.0,1.06,24753.31,23190.0,23840.0,300.0,-211.66,22.77,-241.86,stop
