date,ticker,open_p,entry,stop,target,exit_price,gross_pct,net_pnl,outcome,portfolio
2021-05-03,ILCO.TA,89511.80142289578,89690.825,89332.0617,90767.1149,89332.0617,-0.4,-165.0,stop,99835.0
2021-05-03,SKBN.TA,2201.703125,2206.1065,2197.2821,2232.5798,2232.5798,1.2,314.48,target,100149.48
2021-05-03,PHOE.TA,2938.002906976744,2943.8789,2932.1034,2979.2055,2979.2055,1.2,315.47,target,100464.95
2021-05-03,ELCO.TA,17338.593899135678,17373.2711,17303.778,17581.7503,17581.7503,1.2,316.46,target,100781.42
2021-05-04,ISCN.TA,1273.5740693223531,1276.1212,1271.0167,1291.4347,1291.4347,1.2,317.46,target,101098.88
2021-05-04,ILCO.TA,90971.33847165602,91153.2811,90788.668,92247.1205,90788.668,-0.4,-166.81,stop,100932.06
2021-05-04,SKBN.TA,2262.724853515625,2267.2503,2258.1813,2294.4573,2258.1813,-0.4,-166.54,stop,100765.53
2021-05-04,ELCO.TA,17718.343697901888,17753.7804,17682.7653,17966.8257,17682.7653,-0.4,-166.26,stop,100599.26
2021-05-05,ISCN.TA,1299.5653448509893,1302.1645,1296.9558,1317.7904,1296.9558,-0.4,-165.99,stop,100433.27
2021-05-05,AZRG.TA,23379.326651278407,23426.0853,23332.381,23707.1983,23707.1983,1.2,316.36,target,100749.64
2021-05-05,MGDL.TA,420.94122324296495,421.7831,420.096,426.8445,426.8445,1.2,317.36,target,101067.0
2021-05-05,ILCO.TA,91401.20657837567,91584.009,91217.673,92683.0171,92683.0171,1.2,318.36,target,101385.36
2021-05-06,ILCO.TA,96969.45576290083,97163.3947,96774.7411,98329.3554,96774.7411,-0.4,-167.29,stop,101218.08
2021-05-06,ICL.TA,2304.16306439568,2308.7714,2299.5363,2336.4766,2299.5363,-0.4,-167.01,stop,101051.07
2021-05-06,AZRG.TA,24358.880664143846,24407.5984,24309.968,24700.4896,24309.968,-0.4,-166.73,stop,100884.33
2021-05-06,ISCN.TA,1294.5669314362283,1297.1561,1291.9674,1312.7219,1291.9674,-0.4,-166.46,stop,100717.87
2021-05-10,MGDL.TA,455.8363701257518,456.748,454.9211,462.229,462.229,1.2,317.26,target,101035.13
2021-05-10,ISCN.TA,1325.5566517480092,1328.2078,1322.8949,1344.1463,1322.8949,-0.4,-166.71,stop,100868.43
2021-05-10,LUMI.TA,2427.0397599590196,2431.8938,2422.1663,2461.0766,2441.0227,0.375,68.2,eod,100936.63
2021-05-10,ELCO.TA,18188.03511402027,18224.4112,18151.5135,18443.1041,18443.1041,1.2,317.95,target,101254.58
2021-05-12,ELCO.TA,18447.86152354313,18484.7572,18410.8182,18706.5743,18410.8182,-0.4,-167.07,stop,101087.51
2021-05-12,ICL.TA,2225.36330847276,2229.814,2220.8948,2256.5718,2220.8948,-0.4,-166.79,stop,100920.71
2021-05-13,ELCO.TA,18477.844703510596,18514.8004,18440.7412,18736.978,18736.978,1.2,317.9,target,101238.61
2021-05-13,MGDL.TA,450.73704559420537,451.6385,449.832,457.0582,457.0582,1.2,318.9,target,101557.51
2021-05-13,ISCN.TA,1278.5723763269323,1281.1295,1276.005,1296.5031,1296.5031,1.2,319.91,target,101877.42
2021-05-13,LUMI.TA,2393.081390418152,2397.8676,2388.2761,2426.642,2426.642,1.2,320.91,target,102198.34
2021-05-18,MGDL.TA,465.93496964686744,466.8668,464.9994,472.4692,464.9994,-0.4,-168.63,stop,102029.71
2021-05-18,LUMI.TA,2462.99625605414,2467.9222,2458.0506,2497.5373,2458.0506,-0.4,-168.35,stop,101861.36
2021-05-18,DSCT.TA,1560.444935760498,1563.5658,1557.3116,1582.3286,1582.3286,1.2,320.86,target,102182.22
2021-05-18,FIBI.TA,10087.464073530307,10107.639,10067.2084,10228.9307,10228.9307,1.2,321.87,target,102504.1
2021-05-19,ISCN.TA,1409.5284127590546,1412.3475,1406.6981,1429.2956,1429.2956,1.2,322.89,target,102826.98
2021-05-19,FIBI.TA,10247.110743695705,10267.605,10226.5345,10390.8162,10390.8162,1.2,323.9,target,103150.89
2021-05-19,PHOE.TA,3063.7463529708325,3069.8738,3057.5944,3106.7123,3057.5944,-0.4,-170.2,stop,102980.69
2021-05-19,DLEKG.TA,16152.865418632075,16185.1711,16120.4305,16379.3932,16120.4305,-0.4,-169.92,stop,102810.77
2021-05-20,ELCO.TA,18977.51243523849,19015.4675,18939.4056,19243.6531,18939.4056,-0.4,-169.64,stop,102641.13
2021-05-20,ISCN.TA,1456.5128749584862,1459.4259,1453.5882,1476.939,1476.939,1.2,323.32,target,102964.45
2021-05-20,FIBI.TA,10496.550975099486,10517.5441,10475.4739,10643.7546,10643.7546,1.2,324.34,target,103288.79
2021-05-20,LUMI.TA,2509.939033756785,2514.9589,2504.8991,2545.1384,2504.8991,-0.4,-170.43,stop,103118.37
2021-05-24,MGDL.TA,490.8314660394286,491.8131,489.8459,497.7149,489.8459,-0.4,-170.15,stop,102948.22
2021-05-24,ISCN.TA,1529.488308005137,1532.5473,1526.4171,1550.9379,1526.4171,-0.4,-169.86,stop,102778.36
2021-05-24,FIBI.TA,10676.148564680232,10697.5009,10654.7109,10825.8709,10654.7109,-0.4,-169.58,stop,102608.77
2021-05-24,AMOT.TA,2237.106503266165,2241.5807,2232.6144,2268.4797,2232.6144,-0.4,-169.3,stop,102439.47
2021-05-25,CAMT.TA,11429.50945466694,11452.3685,11406.559,11589.7969,11406.559,-0.4,-169.03,stop,102270.44
2021-05-25,ISCN.TA,1463.5104264253212,1466.4374,1460.5717,1484.0347,1460.5717,-0.4,-168.75,stop,102101.7
2021-05-25,ELCO.TA,19057.461142162567,19095.5761,19019.1938,19324.723,19019.1938,-0.4,-168.47,stop,101933.23
2021-05-25,BEZQ.TA,361.1713560896966,361.8937,360.4461,366.2364,366.2364,1.2,321.09,target,102254.32
2021-05-26,BEZQ.TA,379.3397455630095,380.0984,378.578,384.6596,378.578,-0.4,-168.72,stop,102085.6
2021-05-26,ELCO.TA,18787.63932987968,18825.2146,18749.9138,19051.1172,18749.9138,-0.4,-168.44,stop,101917.16
2021-05-26,LUMI.TA,2491.9608003864855,2496.9447,2486.9569,2526.9081,2526.9081,1.2,321.04,target,102238.2
2021-05-26,MZTF.TA,9708.320965872763,9727.7376,9688.8267,9844.4705,9688.8267,-0.4,-168.69,stop,102069.5
2021-05-27,LUMI.TA,2591.83907986236,2597.0228,2586.6347,2628.187,2586.6347,-0.4,-168.41,stop,101901.09
2021-05-27,BEZQ.TA,373.35020731995786,374.0969,372.6005,378.5861,372.6005,-0.4,-168.14,stop,101732.95
2021-05-27,AMOT.TA,2308.0146007035028,2312.6306,2303.3801,2340.3822,2303.3801,-0.4,-167.86,stop,101565.09
2021-05-27,ILCO.TA,97899.15706284757,98094.9554,97702.5756,99272.0948,97702.5756,-0.4,-167.58,stop,101397.51
2021-05-31,ISCN.TA,1419.5250739498415,1422.3641,1416.6747,1439.4325,1416.6747,-0.4,-167.31,stop,101230.2
2021-05-31,ICL.TA,2373.9866391321657,2378.7346,2369.2197,2407.2794,2369.2197,-0.4,-167.03,stop,101063.17
