date,ticker,entry,exit,gross_pct,net_pnl,hold_days,regime,outcome
2021-05-05,CAMT.TA,11109.5234375,10299.5576171875,-7.291,-1571.48,2,BULL,stop
2021-05-06,AMOT.TA,2140.976318359375,2246.82666015625,4.944,784.64,3,BULL,tp_rsi
2021-05-10,ELCO.TA,17668.37890625,18487.8359375,4.638,736.71,7,BULL,tp_rsi
2021-05-12,ICL.TA,2231.34814453125,2254.2900390625,1.028,136.75,7,BULL,tp_rsi
2021-05-12,AMOT.TA,2246.82666015625,2049.105712890625,-8.8,-1951.23,6,BULL,stop
2021-05-13,MGDL.TA,458.9359436035156,464.8350830078125,1.285,179.85,3,BULL,tp_rsi
2021-05-19,ELCO.TA,18477.841796875,18727.677734375,1.352,185.56,7,BULL,tp_rsi
2021-05-25,MGDL.TA,464.6351623535156,478.1332702636719,2.905,438.8,6,BULL,tp_rsi
2021-06-01,SKBN.TA,2252.882568359375,2056.038330078125,-8.737,-1956.85,29,BULL,stop
2021-06-01,TEVA.TA,3447.0,3410.0,-1.073,-265.96,19,BULL,signal_exit
2021-06-07,ICL.TA,2359.0244140625,2424.0341796875,2.756,417.37,6,BULL,tp_rsi
2021-06-09,SPEN.TA,2369.59716796875,2381.59521484375,0.506,51.07,28,BULL,signal_exit
2021-06-17,ICL.TA,2424.0341796875,2270.411865234375,-6.337,-1419.55,10,BULL,trail_stop
2021-06-21,CAMT.TA,11769.4951171875,11409.5107421875,-3.059,-688.92,20,BULL,trail_stop
2021-06-28,BEZQ.TA,373.84930419921875,354.8823547363281,-5.073,-1110.24,7,BULL,signal_exit
2021-06-29,DLEKG.TA,17139.982421875,20859.130859375,21.699,3122.34,35,BULL,tp_rsi
2021-07-05,FIBI.TA,10696.1064453125,10336.9091796875,-3.358,-774.61,26,BULL,trail_stop
2021-07-05,DLEKG.TA,20859.130859375,21706.66015625,4.063,624.11,6,BULL,tp_rsi
2021-07-08,MZTF.TA,10297.0078125,9779.1640625,-5.029,-1126.54,21,BULL,trail_stop
2021-07-08,CAMT.TA,12269.4736328125,11219.5185546875,-8.557,-1859.62,10,BULL,stop
2021-07-08,DLEKG.TA,21706.66015625,18535.9140625,-14.607,-3202.94,3,BULL,stop
2021-07-19,PHOE.TA,3173.521728515625,2983.9091796875,-5.975,-1313.13,14,BULL,trail_stop
2021-07-19,AMOT.TA,2189.16845703125,2098.2861328125,-4.151,-878.05,11,BULL,signal_exit
2021-07-19,SPEN.TA,2468.580322265625,2359.598876953125,-4.415,-930.96,11,BULL,signal_exit
2021-07-20,RSEL.TA,534.19873046875,510.2436218261719,-4.484,-945.52,12,BULL,signal_exit
2021-07-28,NVMI.TA,31900.0,30660.0,-3.887,-1290.05,6,BULL,signal_exit
2021-08-09,ICL.TA,2327.2724609375,2236.49609375,-3.901,-787.52,12,BULL,trail_stop
2021-08-09,DLEKG.TA,18914.8046875,17149.958984375,-9.33,-1793.7,12,BULL,stop
2021-08-12,ENLT.TA,6900.0,6730.0,-2.464,-513.77,21,BULL,signal_exit
